,Metabolite,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control,Heated,ratio,significance.names(splitnn),Pvalues,stars
282,PE(16:1/18:1).O,0.773998742,1.89E-01,3.44E+05,3816350.06,3472595.58,1.0989906,PE(16:1/18:1).O,0.773998742,NA
283,PE(16:1/18:2).O,0.072988768,1.06E+00,2.88E+05,440077.01,152123.16,2.8928994,PE(16:1/18:2).O,0.072988768,NA
284,PE(16:1/19:1)_B.O,0.422551998,-5.80E-01,-1.82E+05,392428.37,574721.38,0.682815,PE(16:1/19:1)_B.O,0.422551998,NA
285,PE(17:0/17:0).O,0.502394168,-4.72E-01,-5.98E+05,1409610.12,2007472.36,0.7021816,PE(17:0/17:0).O,0.502394168,NA
286,PE(17:0/18:1).O,0.499256288,-4.74E-01,-4.66E+05,1136537.39,1602936.61,0.7090345,PE(17:0/18:1).O,0.499256288,NA
287,PE(17:1/17:1).O,0.694149285,-2.60E-01,-7.78E+04,652321.9,730114.74,0.8934512,PE(17:1/17:1).O,0.694149285,NA
288,PE(17:1/18:1);PE(16:1/19:1)_A.O,0.527694888,-4.19E-01,-2.17E+05,892535.19,1109439.75,0.8044918,PE(17:1/18:1);PE(16:1/19:1)_A.O,0.527694888,NA
289,PE(17:1/19:1).O,0.887294662,9.57E-02,1.32E+05,3131549.85,2999067.4,1.0441746,PE(17:1/19:1).O,0.887294662,NA
290,PE(18:1/18:1).O,0.474038923,-4.97E-01,-2.13E+06,6831352.42,8957986.85,0.7625991,PE(18:1/18:1).O,0.474038923,NA
291,PE(18:1/18:2)_A.O,0.324816321,6.03E-01,3.90E+05,1474896.97,1084495.85,1.359984,PE(18:1/18:2)_A.O,0.324816321,NA
292,PE(18:1/18:2)_B.O,0.234608139,-8.52E-01,-1.78E+06,1537061.7,3320848.8,0.4628521,PE(18:1/18:2)_B.O,0.234608139,NA
293,PE(18:1/19:1)_A.O,0.988280553,-9.29E-03,-6.43E+03,1421266.47,1427700.55,0.9954934,PE(18:1/19:1)_A.O,0.988280553,NA
294,PE(18:1/19:1)_B.O,0.443894931,-5.21E-01,-8.56E+05,3321787.79,4178131.38,0.7950415,PE(18:1/19:1)_B.O,0.443894931,NA
295,PE(18:2/18:2).O,0.026159734,1.29E+00,2.25E+06,3215628.48,966815.61,3.3259998,PE(18:2/18:2).O,0.026159734,*
296,PE(19:1/19:1).O,0.451892591,-5.00E-01,-7.34E+05,2934027.1,3667954.12,0.7999083,PE(19:1/19:1).O,0.451892591,NA
297,PE(35:2).O,0.556197499,3.76E-01,4.61E+05,3040074.31,2579219.45,1.17868,PE(35:2).O,0.556197499,NA
298,PE(36:1).O,0.454885028,-5.12E-01,-1.94E+05,575511.9,769434.94,0.7479669,PE(36:1).O,0.454885028,NA
299,PE(O-15:0/15:0).O,0.382979365,-6.35E-01,-8.96E+05,1205221.9,2100913.52,0.5736656,PE(O-15:0/15:0).O,0.382979365,NA
300,PE(O-15:0/15:1)_A.O,0.546504824,-4.19E-01,-3.32E+05,978112.68,1309876.55,0.7467213,PE(O-15:0/15:1)_A.O,0.546504824,NA
301,PE(O-15:0/15:1)_B.O,0.354728501,-6.32E-01,-4.17E+05,747723.92,1164669.54,0.6420052,PE(O-15:0/15:1)_B.O,0.354728501,NA
302,PE(O-16:0/15:1).O,0.352220938,-6.15E-01,-1.91E+05,215329.38,406328.3,0.5299394,PE(O-16:0/15:1).O,0.352220938,NA
